sentence	voicevox_says	kuromoji_expects
このクーポンの有効期限は今月末までなので、お早めにご利用ください。	このくうぽんのゆうこおきげんわこんげつまつまでなのでおわやめにごりよおください	このくぽんのゆうこおきげんわこんげつまつまでなのでおわやめにごりよおください
このクーポンは、今月末までのご利用に限ります。	このくうぽんわこんげつまつまでのごりよおにかぎります	このくぽんわこんげつまつまでのごりよおにかぎります
このクーポンは今月末まで有効ですので、お早めにご利用ください。	このくうぽんわこんげつまつまでゆうこおですのでおわやめにごりよおください	このくぽんわこんげつまつまでゆうこおですのでおわやめにごりよおください
このクリームを塗ると、肌が滑らかになると友達に勧められた。	このくりいむおぬるとわだがなめらかになるとともだちにすすめられた	このくりむおぬるとわだがなめらかになるとともだちにすすめられた
このケーキはとてもおいしそうだ。	このけえきわとてもおいしそおだ	このけきわとてもおいしそおだ
このケーキは甘いです。	このけえきわあまいです	このけきわあまいです
このケーキを五人で同じ大きさに分けるのは難しそうです。	このけえきおごにんでおなじおきさにわけるのわむずかしそおです	このけきおごにんでおなじおきさにわけるのわむずかしそおです
このケーブルをテレビに繋げれば、映像が見られますよ。	このけえぶるおてれびにつなげればえぞおがみられますよ	このけぶるおてれびにつなげればえぞおがみられますよ
このコーヒーは苦いので、砂糖を入れます。	このこおひいわにがいのでさとおいれます	このこひわにがいのでさとおいれます
このサービスを使うには、まずメールアドレスを登録する必要があります。	このさあびすおつかうにわまずめえるあどれすおとおろくするひつよおがあります	このさびすおつかうにわまずめるあどれすおとおろくするひつよおがあります
このサービスを利用するには、まずメールアドレスを登録する必要がある。	このさあびすおりよおするにわまずめえるあどれすおとおろくするひつよおがある	このさびすおりよおするにわまずめるあどれすおとおろくするひつよおがある
このジュースは缶より瓶のほうが安く売られている。	このじゅうすわかんよりびんのほおがやすくうられてえる	このじゅすわかんよりびんのほおがやすくうられてえる
このスープはちょっとしょっぱいので、お湯を足しましょう。	このすうぷわちょっとしょっぱいのでおゆおたしましょお	このすぷわちょっとしょっぱいのでおゆおたしましょお
このスープはちょっと塩辛すぎて、全部は飲めませんでした。	このすうぷわちょっとしおからすぎてぜんぶわのめませんでした	このすぷわちょっとしおからすぎてぜんぶわのめませんでした
このスープは味が少し薄いですね。	このすうぷわあじがすこしうすいですね	このすぷわあじがすこしうすいですね
このスープは味が濃厚で、一口飲んだだけでお腹がいっぱいになりそうだ。	このすうぷわあじがのおこおでひとくちのんだだけでおなかがいっぱいになりそおだ	このすぷわあじがのおこおでえちくちのんだだけでおなかがいっぱいになりそおだ
このスープは野菜が中心なので、カロリーが低いです。	このすうぷわやさいがちゅうしんなのでかろりいがひくいです	このすぷわやさいがちゅうしんなのでかろりがひくいです
このセーターは、洗濯するとひと回り縮んでしまった。	このせえたあわせんたくするとひとまわりちじんでしまった	このせたわせんたくするとひとまわりちじんでしまった
このセーターは洗濯機で洗ったら、ひとまわり縮んでしまった。	このせえたあわせんたくきであらったらひとまわりちじんでしまった	このせたわせんたくきであらったらひとまわりちじんでしまった
このセミナーの申込みは、明日までにしてください。	このせみなあのもおしこみわあしたまでにしてください	このせみなのさるこみわあしたまでにしてください
このたびの人事異動で、大阪支社に転勤することになりました。長い間、大変お世話になりました。	このたびのじんじいどおでおさかししゃにてんきんすることになりましたながいあいだたいえんおせわになりました	このたびのじんじいどおでおさかししゃにてんきんすることになりましたながいまたいえんおせわになりました
このチームは、経験豊かな社員と若手の三人で構成されています。	このちいむわけえけんゆたかなしゃいんとわかてのさんにんでこおせえされてえます	このちむわけえけんゆたかなしゃいんとわかてのさんにんでこおせえされてえます
このデータには、名前や年齢などいくつかの属性が含まれている。	このでえたにわなまえやねんれえなどいくつかのぞくせえがふくまれてえる	このでたにわなまえやねんれえなどいくつかのぞくせえがふくまれてえる
このドキュメンタリーは、視聴者に深く考えさせずにはおかない。	このどきゅめんたりいわしちょおしゃにふかくかんがえさせずにわおかない	このどきゅめんたりわしちょおしゃにふかくかんがえさせずにわおかない
このネクタイは、スーツの色によく合います。	このねくたいわすうつのいろによくあいます	このねくたいわすつのいろによくあいます
このバスは定員が四十名なので、それ以上は乗せられません。	このばすわてえんがよんじゅうめえなのでそれえじょおわのせられません	このばすわてえいんがよんじゅうめえなのでそれえじょおわのせられません
このプロジェクトは一人で進めるには量が多すぎます。かといって、人を増やすと予算がオーバーします。そこで、期限を1か月のばすことにしました。	このぷろじぇくとわひとりですすめるにわりょおがおすぎますかといってひとおふやすとよさんがおばあしますそこできげんおいっかげつのばすことにしました	このぷろじぇくとわいちにんですすめるにわりょおがおすぎますかといってひとおふやすとよさんがおばしますそこできげんおかげつのばすことにしました
このボールペンで手紙を書きます。	このぼおるぺんでてがみおかきます	このぼるぺんでてがみおかきます
このホテルのロビーは重厚な雰囲気で、歴史の深さを感じさせる。	このほてるのろびいわじゅうこおなふんいきでれきしのふかさおかんじさせる	このほてるのろびわじゅうこおなふんいきでれきしのふかさおかんじさせる
このラーメンは美味しいです。	このらあめんわおいしいです	このらめんわおいしいです
このレストランは予約でいっぱいです。もし今日食べたいなら、5時前に来ていただければ、席があります。	このれすとらんわよやくでえっぱいですもしきょおたべたいならごじまえにきてえただければせきがあります	このれすとらんわよやくでえっぱいですもしきょおたべたいならじまえにきてえただければせきがあります
このレポートは三つの章から構成されている。	このれぽおとわみっつのしょおからこおせえされてえる	このれぽとわみっつのしょおからこおせえされてえる
この一件は、現代社会が抱える矛盾の断面を如実に映し出している。	このいっけんわげんだいしゃかいがかかえるむじゅんのだんめんおにょじつにうつしだしてえる	このいちけんわげんだいしゃかいがかかえるむじゅんのだんめんおにょじつにうつしだしてえる
この一族は代々、先祖の祭祀を絶やさぬよう受け継いできた。	このいちぞくわだいだいせんぞのさいしおたやさぬよおけついできた	このいちぞくわだいだいせんぞのさいしおたやさぬよおうけついできた
この駅の近くはスーパーも病院もあって、とても便利です。	このえきのちかくわすうぱあもびょおいんもあってとてもべんりです	このえきのちかくわすぱもびょおいんもあってとてもべんりです
この家具は組立が簡単で、工具がなくても一人で完成させられる。	このかぐわくみたてがかんたんでこおぐがなくてもひとりでかんせえさせられる	このかぐわくみたてがかんたんでこおぐがなくてもいちにんでかんせえさせられる
この机は重すぎて、一人ではとても動かせない。	このつくえわおもすぎてひとりでわとてもおごかせない	このつくえわおもすぎてえちにんでわとてもおごかせない
この魚は色がとても美しいのが特徴で、一目でほかの魚と区別できます。	このさかなわいろがとてもおつくしいのがとくちょおでひとめでほかのさかなとくべつできます	このさかなわいろがとてもおつくしいのがとくちょおでえちもくでほかのさかなとくべつできます
この橋の施工は、地元の建設会社が請け負うことになった。	このわしのせこおわじもとのけんせつかいしゃがうけおことになった	このわしのしこおわじもとのけんせつかいしゃがうけおことになった
この空港では、出国する前にパスポートと搭乗券を提示しなければなりません。	このくうこおでわしゅっこくするまえにぱすぽおとととおじょおけんおてえじしなければなりません	このくうこおでわしゅっこくするまえにぱすぽとととおじょおけんおてえじしなければなりません
この件については、担当者が後ほど詳しく説明いたします。	このけんについてわたんとおしゃがのちほどくわしくせつめえたします	このけんについてわたんとおしゃがのちほどくわしくせつめえいたします
この研究には膨大な量のデータを整理する作業が必要だ。	このけんきゅうにわぼおだいなりょおのでえたおせえりするさぎょおがひつよおだ	このけんきゅうにわぼおだいなりょおのでたおせえりするさぎょおがひつよおだ
この研究所は、再生医療の分野で数々の先駆的な成果を上げてきた。	このけんきゅうじょわさいせえりょおのぶんやでかずかずのせんくてきなせえかおあげてきた	このけんきゅうじょわさいせえいりょおのぶんやでかずかずのせんくてきなせえかおあげてきた
この湖の深さは50メートルです。	このみずうみのふかさわごじゅうめえとるです	このみずうみのふかさわめとるです
この公園では、ボール遊びが禁止されています。	このこおえんでわぼおるあそびがきんしされてえます	このこおえんでわぼるあそびがきんしされてえます
この公園の面積は東京ドームの約五倍に相当する。	このこおえんのめんせきわとおきょおどおむのやくごばいにそおとおする	このこおえんのめんせきわとおきょおどむのやくごばいにそおとおする
この工場では、一日に何千台もの自動車を生産しているそうだ。	このこおじょおでわいちにちになんぜんだいものじどおしゃおせえさんしてえるそおだ	このこおじょおでわいちにちになんせんだいものじどおしゃおせえさんしてえるそおだ
この工場の機械は、すべて再生可能エネルギーを動力として稼働している。	このこおじょおのきかいわすべてさいせえかのおえねるぎいおどおりょくとしてかどおしてえる	このこおじょおのきかいわすべてさいせえかのおえねるぎおどおりょくとしてかどおしてえる
この港町は、かつて交易の拠点として大いに栄えていた。	このみなとまちわかつてこおえきのきょてんとしておいにさかえてえた	このみなとちょおわかつてこおえきのきょてんとしておいにさかえてえた
この国の経済は、長い間、石炭を中心とした鉱業に支えられてきました。	このくにのけえざいわながいあいだせきたんおちゅうしんとしたこおぎょおにささえられてきました	このくにのけえざいわながいませきたんおちゅうしんとしたこおぎょおにささえられてきました
この作品のユニークな着想は、日常のふとした瞬間から生まれたという。	このさくひんのゆにいくなちゃくそおわにちじょおのふとしたしゅんかんからうまれたという	このさくひんのゆにくなちゃくそおわにちじょおのふとしたしゅんかんからうまれたという
この雑誌は毎月末に発売され、若い女性の間で絶大な人気を誇っている。	このざっしわまいつきまつにわつばいされわかいじょせえのあいだでぜつだいなにんきおほこってえる	このざっしわまいつきまつにわつばいされわかいじょせえのまでぜつだいなにんきおほこってえる
この仕事量を1人でやるのは大変に違いない。	このしごとりょおひとりでやるのわたいえんにちがいない	このしごとりょおにんでやるのわたいえんにちがいない
この資料は、後でメールで差し上げます。	このしりょおわあとでめえるでさしあげます	このしりょおわあとでめるでさしあげます
この時計は職人が手作業で仕上げた、実に精巧な細工が施されている。	このとけえわしょくにんがてさぎょおでしあげたじつにせえこおなさいくがほどこされてえる	このとけえわしょくにんがてさぎょおでしあげたじつにせえこおなざいくがほどこされてえる
この写真をノートに糊で貼りました。	このしゃしんおのおとにのりでわりました	このしゃしんおのとにのりでわりました
この種の訴訟では、過去の判例が判決を左右する決め手となることが多い。	このしゅのそしょおでわかこのわんれえがわんけつおさゆうするきめてとなることがおい	このたねのそしょおでわかこのわんれえがわんけつおさゆうするきめてとなることがおい
この十年でスマートフォンが急速に普及した。	このじゅうねんですまあとふぉんがきゅうそくにふきゅうした	このじゅうねんですまとふぉんがきゅうそくにふきゅうした
この書類を三枚コピーしてください。	このしょるいおさんまいこぴいしてください	このしょるいおさんまいこぴしてください
この商品の品質は、メーカーが一年間保証しております。	このしょおひんのひんしつわめえかあがいちねんかんほしょおしております	このしょおひんのひんしつわめかがいちねんかんほしょおしております
この小説には、時代に取り残されていく者たちの悲哀が静かに描かれている。	このしょおせつにわじだいにとりのこされてえくものたちのひあいがしずかにえがかれてえる	このしょおせつにわじだいにとりのこされてえくしゃたちのひあいがしずかにえがかれてえる
この城は堅固な石垣に守られ、幾度の戦にも耐えてきた。	このしろわけんごないしがきにまもられえくどのいくさにもたえてきた	このしろわけんごないしがきにまもられえくどのせんにもたえてきた
この条件に該当する方は、速やかに窓口までお申し出ください。	このじょおけんにがいとおするかたわすみやかにまどぐちまでおもおしでください	このじょおけんにがいとおするほおわすみやかにまどぐちまでおもおしでください
この条件に当てはまる方は、期限までに書類を提出してください。	このじょおけんにあてわまるかたわきげんまでにしょるいおてえしゅつしてください	このじょおけんにあてわまるほおわきげんまでにしょるいおてえしゅつしてください
この条件に当てはまる方は、受付で割引を受けられます。	このじょおけんにあてわまるかたわうけつけでわりびきおけられます	このじょおけんにあてわまるほおわうけつけでわりびきおけられます
この図書館で Wi-Fi を使うことができます。	このとしょかんでわいふぁいおつかうことができます	このとしょかんでWiFiおつかうことができます
この製品の品質は、メーカーが一年間保証している。	このせえひんのひんしつわめえかあがいちねんかんほしょおしてえる	このせえひんのひんしつわめかがいちねんかんほしょおしてえる
この製品はテレビ広告の効果もあって、若者の間で一気に知名度が上がった。	このせえひんわてれびこおこくのこおかもあってわかもののあいだでえっきにちめえどがあがった	このせえひんわてれびこおこくのこおかもあってわかもののまでえっきにちめえどがあがった
この地域に見られる河岸段丘は、長い年月をかけた河川の浸食作用の産物にほかならない。	このちいきにみられるかがんだんきゅうわながいとしつきおかけたかせんのしんしょくさよおのさんぶつにほかならない	このちいきにみられるかわぎしだんきゅうわながいとしつきおかけたかせんのしんしょくさよおのさんぶつにほかならない
この地域は昔から米作りが盛んで、おいしいお米が有名です。	このちいきわむかしからこめずくりがさかんでおいしいおこめがゆうめえです	このちいきわむかしからべえずくりがさかんでおいしいおべえがゆうめえです
この地方には、他では味わえない独特な食文化が根づいている。	このちほおにわほかでわあじわえないどくとくなしょくぶんかがねずいてえる	このちほおにわたでわあじわえないどくとくなしょくぶんかがねずいてえる
この地方の料理は、想像していた以上に辛かった。	このちほおのりょおりわそおぞおしてえたいじょおにからかった	このちほおのりょおりわそおぞおしてえたいじょおにつらかった
この地方は冬の寒さが厳しく、殊に山間部では積雪が数メートルに達する。	このちほおわふゆのさむさがきびしくことにさんかんぶでわせきせつがすうめえとるにたっする	このちほおわふゆのさむさがきびしくことにさんかんぶでわせきせつがすうめとるにたっする
この町ではサッカーが盛んです。	このまちでわさっかあがさかんです	このまちでわさっかがさかんです
この調査では、膨大なデータを分析するのに何か月もかかった。	このちょおさでわぼおだいなでえたおぶんせきするのになんかげつもかかった	このちょおさでわぼおだいなでたおぶんせきするのになんかげつもかかった
この庭園には、江戸の職人技の粋が余すところなく凝縮されている。	このてえんにわえどのしょくにんわざのすいがあますところなくぎょおしゅくされてえる	このてえんにわえどのしょくにんわざのいきがあますところなくぎょおしゅくされてえる
この店のケーキは飛び切りおいしいと評判で、いつも行列ができている。	このみせのけえきわとびきりおいしいとひょおばんでえつもぎょおれつができてえる	このみせのけきわとびきりおいしいとひょおばんでえつもぎょおれつができてえる
この店のラーメンは、スープが特別美味しいです。豚骨を十時間以上煮込んで作っています。一杯八百円です。	このみせのらあめんわすうぷがとくべつおいしいですとんこつおじゅうじかんいじょおにこんでつくってえますいっぱいわっぴゃくえんです	このみせのらめんわすぷがとくべつおいしいですぶたぼねおじゅうじかんいじょおにこんでつくってえますいちわいわちひゃくえんです
この店のラーメンは、他では味わえない独特なスープが自慢です。	このみせのらあめんわほかでわあじわえないどくとくなすうぷがじまんです	このみせのらめんわたでわあじわえないどくとくなすぷがじまんです
この店のラーメンは値段の割に本当に旨いと評判だ。	このみせのらあめんわねだんのわりにほんとおにうまいとひょおばんだ	このみせのらめんわねだんのわりにほんとおにうまいとひょおばんだ
この店はイタリアからチーズを輸入しています。	このみせわいたりあからちいずおゆにゅうしてえます	このみせわいたりあからちずおゆにゅうしてえます
この店はカードが使えないので、現金で払いました。	このみせわかあどがつかえないのでげんきんでわらいました	このみせわかどがつかえないのでげんきんでわらいました
この店はラーメンが有名で、いつも行列ができています。	このみせわらあめんがゆうめえでえつもぎょおれつができてえます	このみせわらめんがゆうめえでえつもぎょおれつができてえます
この店は年中無休で、朝九時から営業しております。	このみせわねんじゅうむきゅうであさくじからえぎょおしております	このみせわねんじゅうむきゅうであさきゅうじからえぎょおしております
この道はいつも混んでいますが、朝早い時間なら比較的すいています。ですから、6時ごろ出発するのがおすすめです。	このみちわいつもこんでえますがあさわやいじかんならひかくてきすいてえますですからろくじごろしゅっぱつするのがおすすめです	このみちわいつもこんでえますがあさわやいじかんならひかくてきすいてえますですからじごろしゅっぱつするのがおすすめです
この道は工事のため、しばらくスピードが制限されています。	このみちわこおじのためしばらくすぴいどがせえげんされてえます	このみちわこおじのためしばらくすぴどがせえげんされてえます
この道は工事中です。従って、別のルートで行かなければなりません。	このみちわこおじちゅうですしたがってべつのるうとでえかなければなりません	このみちわこおじちゅうですしたがってべつのるとでえかなければなりません
この二つの出来事の間には、何ら因果関係は認められない。	このふたつのできごとのあいだにわなんらいんがかんけえわみとめられない	このふたつのできごとのまにわなんらいんがかんけえわみとめられない
この二つの製品は名前が紛らわしく、注文の際に間違える客が後を絶たない。	このふたつのせえひんわなまえがまぎらわしくちゅうもんのさいにまちがえるきゃくがあとおたたない	このふたつのせえひんわなまえがまぎらわしくちゅうもんのさいにまちがえるきゃくがごおたたない
この年頃の子どもは、一年で身長が十センチ近く伸びることもある。	このとしごろのこどもわいちねんでしんちょおがじゅっせんちちかくのびることもある	このとしごろのこどもわいちねんでしんちょおがじゅうせんちちかくのびることもある
この箱は見た目より重くて、一人で持ち上げることができなかった。	このわこわみためよりおもくてひとりでもちあげることができなかった	このわこわみためよりおもくてえちにんでもちあげることができなかった
この物質は水にはほとんど溶解しないが、アルコールにはよく溶ける。	このぶっしつわみずにわほとんどよおかいしないがあるこおるにわよくとける	このぶっしつわみずにわほとんどよおかいしないがあるこるにわよくとける
この平たい石は、テーブルの上に置くのにちょうどいいです。	このひらたいしわてえぶるのおえにおくのにちょおどいです	このひらたいしわてぶるのおえにおくのにちょおどいです
この柄のシャツはとてもかわいいですね。	このがらのしゃつわとてもかわいですね	このえのしゃつわとてもかわいですね
この辺りでおいしいラーメン屋を知りませんか。	このあたりでおいしいらあめんやおしりませんか	このあたりでおいしいらめんやおしりませんか
この木はとても太くて、大人二人でも抱えられません。	このきわとてもふとくておとなふたりでもかかえられません	このきわとてもふとくておとなににんでもかかえられません
この問題については、専門家の間でも見解が分かれている。	このもんだいについてわせんもんかのあいだでもけんかいがわかれてえる	このもんだいについてわせんもんかのまでもけんかいがわかれてえる
この問題は、一人で悩まずみんなで解決したほうがいい。	このもんだいわひとりでなやまずみんなでかいけつしたほおがい	このもんだいわいちにんでなやまずみんなでかいけつしたほおがい
この問題は一人では解決できないので、みんなで話し合いましょう。	このもんだいわひとりでわかいけつできないのでみんなでわなしあいましょお	このもんだいわいちにんでわかいけつできないのでみんなでわなしあいましょお
この問題は思ったより厄介で、解決するのに一週間もかかった。	このもんだいわおもったよりやっかいでかいけつするのにいっしゅうかんもかかった	このもんだいわおもったよりやっかいでかいけつするのにいちしゅうかんもかかった
この薬は食事のあとに飲んでください。朝と夜の2回です。昼は飲まなくてもいいです。	このくすりわしょくじのあとにのんでくださいあさとよるのにかいですひるわのまなくてもいです	このくすりわしょくじのあとにのんでくださいあさとよるのかいですひるわのまなくてもいです
この理論からは、応用範囲の広い数多くの概念が派生している。	このりろんからわおよおわんいのひろいかずおくのがいねんがわせえしてえる	このりろんからわおよおわんいのひろいすうおくのがいねんがわせえしてえる
この旅行で、一人でも何とかなるという自信がつきました。	このりょこおでひとりでもなにとかなるというじしんがつきました	このりょこおでえちにんでもなんとかなるというじしんがつきました
この料理、思ったより辛いですね。	このりょおりおもったよりからいですね	このりょおりおもったよりつらいですね
この料理は、甘さと辛さの絶妙なバランスが後を引く。	このりょおりわあまさとからさのぜつみょおなばらんすがあとおひく	このりょおりわあまさとつらさのぜつみょおなばらんすがごおひく
この論文は、データに基づいた緻密な論述で高く評価された。	このろんぶんわでえたにもとずいたちみつなろんじゅつでたかくひょおかされた	このろんぶんわでたにもとずいたちみつなろんじゅつでたかくひょおかされた
この論文を英語から日本語に翻訳するのに一週間かかった。	このろんぶんおえごからにほんごにほんやくするのにいっしゅうかんかかった	このろんぶんおえごからにほんごにほんやくするのにいちしゅうかんかかった
こぴー	こぴい	こぴ
こぴーする	こぴいする	こぴする
コピーやチケットの予約ができる機械もあります。	こぴいやちけっとのよやくができるきかいもあります	こぴやちけっとのよやくができるきかいもあります
コピー機が壊れていました。古いから、いつか倒れそうです。子供が遊んでも壊さないでね、椅子も倒さないように。	こぴいきがこわれてえましたふるいからいつかたおれそおですこどもがあそんでもこわさないでねえすもたおさないよおに	こぴきがこわれてえましたふるいからいつかたおれそおですこどもがあそんでもこわさないでねえすもたおさないよおに
これ、試着できますか？	これしちゃくできますか	これ試きできますか
これを「飲みニケーション」と言う。	これおのみにけえしょんという	これおのみにけしょんという
コンサートの会場は、人でいっぱいでした。	こんさあとのかいじょおわひとでえっぱいでした	こんさとのかいじょおわひとでえっぱいでした
コンサート会場で隣の人に肩をぶつけられた。	こんさあとかいじょおでとなりのひとにかたおぶつけられた	こんさとかいじょおでとなりのひとにかたおぶつけられた
こんぴゅーたー	こんぴゅうたあ	こんぴゅた
ご期待に添えるよう、精一杯努めてまいります。	ごきたいにそえるよおせえっぱいつとめてまいります	ごきたいにそえるよおせえいっぱいつとめてまいります
ご都合については了解しましたので、日程を調整いたします。	ごつごおについてわりょおかいしましたのでにってえおちょおせえたします	ごつごおについてわりょおかいしましたのでにってえおちょおせえいたします
ご都合のよろしい日時をご教示いただけますか。	ごつごおのよろしいにちじおごきょおじいただけますか	ごつごおのよろしいにちじおごきょおしいただけますか
さいきんはパンやコーヒーの朝ごはんもおおいです。	さいきんわぱんやこおひいのあさごわんもおいです	さいきんわぱんやこひのあさごわんもおいです
ざいりゅうカード	ざいりゅうかあど	ざいりゅうかど
さくらはとてもきれいですが、さく期間は一週間ぐらいとみじかいです。	さくらわとてもきれえですがさくきかんわいっしゅうかんぐらいとみじかいです	さくらわとてもきれえですがさくきかんわいちしゅうかんぐらいとみじかいです
さすが一流ホテルだけのことはある。サービスが段違いだ。	さすがいちりゅうほてるだけのことわあるさあびすがだんちがいだ	さすがいちりゅうほてるだけのことわあるさびすがだんちがいだ
さっかー	さっかあ	さっか
サッカーの試合で足に怪我をしました。	さっかあのしあいであしにけがおしました	さっかのしあいであしにけがおしました
サッカーの試合中に足首を捻挫して、歩けなくなってしまった。	さっかあのしあいちゅうにあしくびおねんざしてあるけなくなってしまった	さっかのしあいちゅうにあしくびおねんざしてあるけなくなってしまった
さらりーまん	さらりいまん	さらりまん
ジェットコースターが急降下すると、乗客たちは一斉に絶叫した。	じぇっとこおすたあがきゅうこおかするとじょおきゃくたちわいっせえにぜっきょおした	じぇっとこすたがきゅうこおかするとじょおきゃくたちわいっせえにぜっきょおした
しかし、便利さのうらには、二十四時間はたらく人の苦労や、食品ロスなどの問題もかくれている。	しかしべんりさのおらにわにじゅうよじかんわたらくひとのくろおやしょくひんろすなどのもんだいもかくれてえる	しかしべんりさのおらにわにじゅうよんじかんわたらくひとのくろおやしょくひんろすなどのもんだいもかくれてえる
しかしさいきんのわかい人の中には、しごととプライベートをきちんと分けたいと考える人もふえている。	しかしさいきんのわかいひとのなかにわしごととぷらいべえとおきちんとわけたいとかんがえるひともふえてえる	しかしさいきんのわかいひとのなかにわしごととぷらいべとおきちんとわけたいとかんがえるひともふえてえる
しごとは九時からです。	しごとわくじからです	しごとわきゅうじからです
ジムに入会したものの、忙しくて一度しか行っていない。	じむににゅうかいしたもののいそがしくてえちどしかいってえない	じむににゅうかいしたもののいそがしくてえちどしかおこなってえない
じゃがいもをよく茹でてから、フォークで潰してください。	じゃがいもおよくゆでてからふぉおくでつぶしてください	じゃがいもおよくゆでてからふぉくでつぶしてください
シャツの柄と模様は色々ですが、ネイビーが一番好きです。	しゃつのえともよおわいろいろですがねえびいがいちばんすきです	しゃつのえともよおわいろいろですがねえびがいちばんすきです
しゃわー	しゃわあ	しゃわ
シャワーを浴びて、服を着て、出かけます。	しゃわあおあびてふくおきてでかけます	しゃわおあびてふくおきてでかけます
シャワーを浴びていたら、急にいいアイデアが頭に浮かんだ。	しゃわあおあびてえたらきゅうにいあいであがあたまにうかんだ	しゃわおあびてえたらきゅうにいあいであがあたまにうかんだ
シャワーを浴びている間に、電話が鳴っていた。	しゃわあおあびてえるあいだにでんわがなってえた	しゃわおあびてえるまにでんわがなってえた
シャワーを浴びてすっきりした。	しゃわあおあびてすっきりした	しゃわおあびてすっきりした
じゅーす	じゅうす	じゅす
すーつ	すうつ	すつ
すーぱー	すうぱあ	すぱ
スーパーで野菜を買います。	すうぱあでやさいおかいます	すぱでやさいおかいます
スーパーで卵と牛乳を買います。	すうぱあでたまごとぎゅうにゅうおかいます	すぱでたまごとぎゅうにゅうおかいます
すかーと	すかあと	すかと
スピードに関する議論にかけては、彼が社内一だ。	すぴいどにかんするぎろんにかけてわかれがしゃないちだ	すぴどにかんするぎろんにかけてわかれがしゃないちだ
すぷーん	すぷうん	すぷん
スプーンでスープを飲みます。	すぷうんですうぷおのみます	すぷんですぷおのみます
すべての国民は法の下に平等であると憲法に定められている。	すべてのこくみんわほおのもとにびょおどおであるとけんぽおにさだめられてえる	すべてのこくみんわほおのしたにびょおどおであるとけんぽおにさだめられてえる
すぽーつ	すぽおつ	すぽつ
スポーツも好きで、友達とサッカーとテニスをします。	すぽおつもすきでともだちとさっかあとてにすおします	すぽつもすきでともだちとさっかとてにすおします
スマートフォンのゲームは、思っている以上に電池を消費してしまう。	すまあとふぉんのげえむわおもってえるいじょおにでんちおしょおひしてしまう	すまとふぉんのげむわおもってえるいじょおにでんちおしょおひしてしまう
スマートフォンの急速な普及は、人々の生活様式を一変させた。	すまあとふぉんのきゅうそくなふきゅうわひとびとのせえかつよおしきおいっぺんさせた	すまとふぉんのきゅうそくなふきゅうわひとびとのせえかつよおしきおいっぺんさせた
スマートフォンの普及によって、私たちはいつでもどこでも膨大な情報に触れられるようになった。	すまあとふぉんのふきゅうによってわたしたちわいつでもどこでもぼおだいなじょおほおにふれられるよおになった	すまとふぉんのふきゅうによってわたしたちわいつでもどこでもぼおだいなじょおほおにふれられるよおになった
スマートフォンの普及によって、人々の生活は大きく変わった。	すまあとふぉんのふきゅうによってひとびとのせえかつわおきくかわった	すまとふぉんのふきゅうによってひとびとのせえかつわおきくかわった
スマートフォンの普及により、ネット通販の利用者が急増した。	すまあとふぉんのふきゅうによりねっとつうわんのりよおしゃがきゅうぞおした	すまとふぉんのふきゅうによりねっとつうわんのりよおしゃがきゅうぞおした
すみません、コピー機の使い方を教えていただけませんか。	すみませんこぴいきのつかいかたおしえてえただけませんか	すみませんこぴきのつかいかたおしえてえただけませんか
すみません、メニューを見せていただけますか。	すみませんめにゅうおみせてえただけますか	すみませんめにゅおみせてえただけますか
すみません、注文したコーヒーがまだ来ないのですが。あ、こちらのミスで、となりの席に出してしまったようです。すぐにお持ちします。	すみませんちゅうもんしたこおひいがまだこないのですがあこちらのみすでとなりのせきにだしてしまったよおですすぐにおもちします	すみませんちゅうもんしたこひがまだこないのですがあこちらのみすでとなりのせきにだしてしまったよおですすぐにおもちします
すむーず	すむうず	すむず
せーたー	せえたあ	せた
セール中の家具を買い物して、低いテーブルを選びました。結婚式の歌も少し練習しています。	せえるちゅうのかぐおかいものしてひくいてえぶるおえらびましたけっこんしきのおたもすこしれんしゅうしてえます	せるちゅうのかぐおかいものしてひくいてぶるおえらびましたけっこんしきのおたもすこしれんしゅうしてえます
せっかく休みを取ったのに、朝から雨で一日中家に閉じこもっていた。	せっかくやすみおとったのにあさからあめでえちにちじゅういえにとじこもってえた	せっかくやすみおとったのにあさからあめでえちにちじゅうかにとじこもってえた
せつじょく	せつじよく	せつじょく
ゼリーは冷蔵庫で二時間ほど冷やすと、ちょうどよく固まります。	ぜりいわれえぞおこでにじかんほどひやすとちょおどよくかたまります	ぜりわれえぞおこでにじかんほどひやすとちょおどよくかたまります
ぜんぶで三百円ぐらいです。	ぜんぶでさんびゃくえんぐらいです	ぜんぶでさんひゃくえんぐらいです
そのケーキは姉が焼きました。	そのけえきわあねがやきました	そのけきわあねがやきました
その一方で、世界には十分な食事をとれない人々が大勢いる。	そのいっぽおでせかいにわじゅうぶんなしょくじおとれないひとびとがおぜえる	そのいっぽおでせかいにわじゅうぶんなしょくじおとれないひとびとがたいせえいる
その映画は公開されてすぐに、若い人の間で話題になった。	そのえがわこおかいされてすぐにわかいひとのあいだでわだいになった	そのえがわこおかいされてすぐにわかいひとのまでわだいになった
その映画は公開前から、若者の間で大きな話題になっている。	そのえがわこおかいまえからわかもののあいだでおきなわだいになってえる	そのえがわこおかいまえからわかもののまでおきなわだいになってえる
その学者は従来の定説に異を唱え、新たな仮説を提唱した。	そのがくしゃわじゅうらいのてえせつにいおとなえあらたなかせつおてえしょおした	そのがくしゃわじゅうらいのてえせつにことおとなえあらたなかせつおてえしょおした
